Province,Region,alternative_name,Transportation_Type,Date,Value
British Columbia,Vancouver,,driving,2020-04-25,54.96
British Columbia,Vancouver,,walking,2020-04-20,54.76
British Columbia,Vancouver,,driving,2020-04-20,54.41
British Columbia,Vancouver,,walking,2020-04-27,54.41
British Columbia,Vancouver,,walking,2020-04-23,54.38
Ontario,Ottawa,,driving,2020-04-28,54.32
Ontario,Ottawa,,walking,2020-04-18,54.3
Ontario,Ontario,,driving,2020-04-22,54.29
British Columbia,Vancouver,,driving,2020-04-21,54.07
British Columbia,Vancouver,,driving,2020-04-22,53.9
British Columbia,British Columbia,,driving,2020-04-19,53.71
British Columbia,Vancouver,,walking,2020-04-25,53.55
Ontario,Toronto,,driving,2020-04-24,53.44
Ontario,Ottawa,,walking,2020-04-20,53.38
Quebec,Quebec,Qu̩bec,driving,2020-04-23,52.9
Quebec,Quebec,Qu̩bec,driving,2020-04-27,52.85
Ontario,Ontario,,driving,2020-04-20,52.63
Ontario,Ottawa,,driving,2020-04-17,52.14
Quebec,Montreal,Montr̩al,walking,2020-04-28,52.1
Alberta,Calgary,,driving,2020-04-26,52.07
Ontario,Ottawa,,driving,2020-04-23,51.2
Ontario,Ontario,,driving,2020-04-21,51.03
British Columbia,Vancouver,,walking,2020-04-28,51.01
Ontario,Ottawa,,walking,2020-04-17,50.88
British Columbia,Vancouver,,walking,2020-04-21,50.87
Quebec,Montreal,Montr̩al,walking,2020-04-24,50.7
Ontario,Ottawa,,driving,2020-04-27,50.48
Alberta,Edmonton,,driving,2020-04-19,50.43
Ontario,Toronto,,walking,2020-04-25,50.43
Ontario,Ontario,,driving,2020-04-18,50.32
Ontario,Toronto,,driving,2020-04-27,49.83
Ontario,Toronto,,driving,2020-04-28,49.63
Ontario,Toronto,,driving,2020-04-25,49.55
Quebec,Montreal,Montr̩al,driving,2020-04-24,49.32
Ontario,Ottawa,,driving,2020-04-25,49.2
Quebec,Quebec,Qu̩bec,driving,2020-04-17,48.96
Ontario,Ottawa,,walking,2020-04-23,48.92
Ontario,Ottawa,,driving,2020-04-20,48.83
Ontario,Ottawa,,driving,2020-04-22,48.81
Ontario,Ottawa,,walking,2020-04-24,48.8
Alberta,Calgary,,driving,2020-04-19,48.76
Quebec,Quebec,Qu̩bec,driving,2020-04-20,48.67
Quebec,Montreal,Montr̩al,driving,2020-04-28,48.57
Ontario,Toronto,,walking,2020-04-27,48.44
Quebec,Quebec,Qu̩bec,driving,2020-04-25,48.23
Ontario,Toronto,,driving,2020-04-23,48.15
Ontario,Toronto,,driving,2020-04-17,47.86
Quebec,Quebec,Qu̩bec,driving,2020-04-22,47.8
Ontario,Toronto,,driving,2020-04-22,47.45
Quebec,Quebec,Qu̩bec,driving,2020-04-21,46.73
British Columbia,Vancouver,,driving,2020-04-26,46.7
Quebec,Montreal,Montr̩al,walking,2020-04-18,46.53
British Columbia,Vancouver,,walking,2020-04-22,46.17
British Columbia,Vancouver,,walking,2020-04-19,46.0
Ontario,Toronto,,driving,2020-04-20,45.81
Ontario,Ottawa,,driving,2020-04-18,45.59
Ontario,Ottawa,,driving,2020-04-21,45.56
Quebec,Montreal,Montr̩al,driving,2020-04-27,45.47
Quebec,Montreal,Montr̩al,driving,2020-04-23,45.36
British Columbia,Vancouver,,driving,2020-04-19,45.19
Quebec,Montreal,Montr̩al,walking,2020-04-20,45.0
Ontario,Toronto,,driving,2020-04-21,44.68
Ontario,Ottawa,,walking,2020-04-26,44.21
Quebec,Montreal,Montr̩al,walking,2020-04-23,44.16
British Columbia,Vancouver,,walking,2020-04-26,43.42
Quebec,Montreal,Montr̩al,walking,2020-04-17,43.15
Ontario,Ontario,,driving,2020-04-26,42.87
Ontario,Toronto,,driving,2020-04-18,42.76
Ontario,Toronto,,walking,2020-04-24,42.61
Ontario,Ottawa,,walking,2020-04-22,42.44
Quebec,Montreal,Montr̩al,driving,2020-04-20,42.36
Quebec,Montreal,Montr̩al,driving,2020-04-25,42.29
Quebec,Montreal,Montr̩al,walking,2020-04-27,42.24
Ontario,Toronto,,walking,2020-04-28,41.97
Newfoundland and Labrador,Newfoundland and Labrador,,driving,2020-04-19,41.96
Quebec,Montreal,Montr̩al,driving,2020-04-17,41.92
Quebec,Quebec,Qu̩bec,driving,2020-04-18,41.49
Quebec,Montreal,Montr̩al,driving,2020-04-22,41.38
Ontario,Toronto,,walking,2020-04-20,41.0
Ontario,Toronto,,walking,2020-04-18,40.44
Quebec,Montreal,Montr̩al,driving,2020-04-21,39.93
Quebec,Quebec,Qu̩bec,driving,2020-04-26,39.42
Ontario,Ottawa,,driving,2020-04-26,39.4
Ontario,Ottawa,,walking,2020-04-21,39.26
Ontario,Ontario,,driving,2020-04-19,39.13
Ontario,Toronto,,walking,2020-04-22,38.99
Ontario,Toronto,,walking,2020-04-23,38.56
Ontario,Toronto,,walking,2020-04-17,38.52
Quebec,Montreal,Montr̩al,walking,2020-04-22,37.69
Quebec,Montreal,Montr̩al,driving,2020-04-18,36.36
Quebec,Montreal,Montr̩al,walking,2020-04-26,36.33
Ontario,Ottawa,,walking,2020-04-19,35.65
Ontario,Toronto,,driving,2020-04-26,35.59
Quebec,Montreal,Montr̩al,walking,2020-04-21,34.89
Ontario,Ottawa,,driving,2020-04-19,34.22
Ontario,Toronto,,driving,2020-04-19,33.53
Ontario,Toronto,,walking,2020-04-21,32.88
Quebec,Quebec,Qu̩bec,driving,2020-04-19,32.88
Quebec,Montreal,Montr̩al,driving,2020-04-26,32.54
Quebec,Montreal,Montr̩al,walking,2020-04-19,32.26
Ontario,Toronto,,walking,2020-04-19,30.87
Ontario,Toronto,,walking,2020-04-26,29.87
Alberta,Calgary,,transit,2020-04-28,28.2
Quebec,Montreal,Montr̩al,driving,2020-04-19,27.76
Alberta,Calgary,,transit,2020-04-24,26.96
Alberta,Edmonton,,transit,2020-04-28,26.6
Alberta,Edmonton,,transit,2020-04-27,26.24
Alberta,Edmonton,,transit,2020-04-20,25.88
Alberta,Edmonton,,transit,2020-04-21,25.78
Alberta,Calgary,,transit,2020-04-27,25.39
Alberta,Edmonton,,transit,2020-04-24,25.38
Alberta,Edmonton,,transit,2020-04-22,24.39
Alberta,Calgary,,transit,2020-04-20,23.8
Alberta,Calgary,,transit,2020-04-21,23.79
Alberta,Calgary,,transit,2020-04-23,23.75
Alberta,Edmonton,,transit,2020-04-23,23.52
Alberta,Edmonton,,transit,2020-04-26,23.49
Quebec,Montreal,Montr̩al,transit,2020-04-27,23.29
Alberta,Calgary,,transit,2020-04-25,23.26
Quebec,Montreal,Montr̩al,transit,2020-04-28,23.07
Alberta,Calgary,,transit,2020-04-26,22.75
Alberta,Calgary,,transit,2020-04-22,22.14
Alberta,Edmonton,,transit,2020-04-25,21.58
British Columbia,Vancouver,,transit,2020-04-27,21.5
British Columbia,Vancouver,,transit,2020-04-28,21.08
Alberta,Calgary,,transit,2020-04-19,21.07
Quebec,Montreal,Montr̩al,transit,2020-04-24,21.05
British Columbia,Vancouver,,transit,2020-04-20,20.88
Alberta,Edmonton,,transit,2020-04-17,20.75
Quebec,Montreal,Montr̩al,transit,2020-04-22,20.75
British Columbia,Vancouver,,transit,2020-04-18,20.71
Alberta,Calgary,,transit,2020-04-18,20.64
Quebec,Montreal,Montr̩al,transit,2020-04-25,20.61
British Columbia,Vancouver,,transit,2020-04-24,20.6
Quebec,Montreal,Montr̩al,transit,2020-04-20,20.53
Alberta,Calgary,,transit,2020-04-17,20.4
Ontario,Toronto,,transit,2020-04-27,20.32
Quebec,Montreal,Montr̩al,transit,2020-04-23,20.19
British Columbia,Vancouver,,transit,2020-04-25,20.08
Quebec,Montreal,Montr̩al,transit,2020-04-21,20.07
British Columbia,Vancouver,,transit,2020-04-17,19.97
Alberta,Edmonton,,transit,2020-04-18,19.8
British Columbia,Vancouver,,transit,2020-04-23,19.75
Ontario,Toronto,,transit,2020-04-28,19.5
Ontario,Ottawa,,transit,2020-04-28,19.49
Alberta,Edmonton,,transit,2020-04-19,19.45
Ontario,Toronto,,transit,2020-04-20,19.44
British Columbia,Vancouver,,transit,2020-04-21,19.23
British Columbia,Vancouver,,transit,2020-04-22,19.06
Quebec,Montreal,Montr̩al,transit,2020-04-17,18.99
British Columbia,Vancouver,,transit,2020-04-26,18.88
Ontario,Toronto,,transit,2020-04-24,18.77
British Columbia,Vancouver,,transit,2020-04-19,18.73
Quebec,Montreal,Montr̩al,transit,2020-04-18,18.63
Quebec,Montreal,Montr̩al,transit,2020-04-26,18.45
Ontario,Toronto,,transit,2020-04-23,17.81
Ontario,Toronto,,transit,2020-04-25,17.74
Ontario,Toronto,,transit,2020-04-22,17.73
Ontario,Toronto,,transit,2020-04-17,17.2
Ontario,Ottawa,,transit,2020-04-20,17.19
Ontario,Toronto,,transit,2020-04-21,17.13
Quebec,Montreal,Montr̩al,transit,2020-04-19,16.83
Ontario,Ottawa,,transit,2020-04-27,16.74
Ontario,Toronto,,transit,2020-04-18,16.29
Ontario,Toronto,,transit,2020-04-26,16.02
Ontario,Ottawa,,transit,2020-04-23,15.92
Ontario,Ottawa,,transit,2020-04-22,15.68
Ontario,Ottawa,,transit,2020-04-25,15.42
Ontario,Toronto,,transit,2020-04-19,15.41
Ontario,Ottawa,,transit,2020-04-18,15.33
Ontario,Ottawa,,transit,2020-04-26,15.28
Ontario,Ottawa,,transit,2020-04-17,15.06
Ontario,Ottawa,,transit,2020-04-24,14.95
Ontario,Ottawa,,transit,2020-04-21,14.35
Ontario,Ottawa,,transit,2020-04-19,12.49
Yukon Territory,Yukon Territory,,driving,2020-04-27,112.24
Alberta,Edmonton,,walking,2020-04-24,111.79
Alberta,Edmonton,,walking,2020-04-28,108.4
Yukon Territory,Yukon Territory,,driving,2020-04-18,108.25
Yukon Territory,Yukon Territory,,driving,2020-04-17,107.8
Alberta,Edmonton,,walking,2020-04-20,107.6
Alberta,Calgary,,walking,2020-04-28,102.02
Prince Edward Island,Prince Edward Island,,driving,2020-04-25,101.76
Alberta,Calgary,,walking,2020-04-24,100.68
Yukon Territory,Yukon Territory,,driving,2020-04-24,100.36
Alberta,Edmonton,,walking,2020-04-23,100.16
Nunavut,Nunavut,,driving,2020-04-17,
Nunavut,Nunavut,,driving,2020-04-18,
Nunavut,Nunavut,,driving,2020-04-19,
Nunavut,Nunavut,,driving,2020-04-20,
Nunavut,Nunavut,,driving,2020-04-21,
Nunavut,Nunavut,,driving,2020-04-22,
Nunavut,Nunavut,,driving,2020-04-23,
Nunavut,Nunavut,,driving,2020-04-24,
Nunavut,Nunavut,,driving,2020-04-25,
Nunavut,Nunavut,,driving,2020-04-26,
Nunavut,Nunavut,,driving,2020-04-27,
Nunavut,Nunavut,,driving,2020-04-28,
Alberta,Calgary,,walking,2020-02-14,200.65
British Columbia,Vancouver,,walking,2020-02-14,191.7
Alberta,Calgary,,walking,2020-02-21,184.29
British Columbia,Vancouver,,walking,2020-02-29,180.47
Alberta,Edmonton,,walking,2020-02-28,180.4
British Columbia,Vancouver,,walking,2020-02-22,179.83
British Columbia,Vancouver,,walking,2020-02-08,179.32
British Columbia,Vancouver,,walking,2020-03-06,177.98
British Columbia,Vancouver,,walking,2020-02-21,177.14
Alberta,Calgary,,walking,2020-02-28,173.68
British Columbia,Vancouver,,walking,2020-03-07,173.67
Alberta,Calgary,,walking,2020-02-20,173.46
British Columbia,Vancouver,,walking,2020-02-15,173.07
Alberta,Calgary,,walking,2020-03-06,172.71
Prince Edward Island,Prince Edward Island,,driving,2020-01-31,172.62
Alberta,Edmonton,,walking,2020-01-31,172.42
Quebec,Montreal,Montr̩al,walking,2020-02-15,170.69
Alberta,Calgary,,walking,2020-02-15,170.43
Alberta,Calgary,,walking,2020-01-24,169.23
Alberta,Edmonton,,walking,2020-02-07,169.1
Alberta,Calgary,,walking,2020-02-13,168.41
Alberta,Calgary,,walking,2020-02-22,168.36
Alberta,Calgary,,walking,2020-01-31,165.58
Alberta,Edmonton,,walking,2020-02-29,164.1
Alberta,Edmonton,,walking,2020-02-14,163.93
New Brunswick,New Brunswick,,driving,2020-02-22,162.69
Alberta,Calgary,,walking,2020-02-07,162.08
Alberta,Edmonton,,walking,2020-02-21,161.33
Alberta,Edmonton,,walking,2020-02-22,160.21
Alberta,Edmonton,,walking,2020-01-25,160.18
Alberta,Edmonton,,walking,2020-02-27,160.15
Alberta,Edmonton,,walking,2020-02-08,159.81
Alberta,Calgary,,walking,2020-01-25,159.13
New Brunswick,New Brunswick,,driving,2020-02-14,158.97
Alberta,Calgary,,walking,2020-02-29,158.82
Ontario,Toronto,,walking,2020-02-22,157.44
British Columbia,Vancouver,,walking,2020-02-16,157.44
British Columbia,Vancouver,,walking,2020-01-25,155.88
Alberta,Edmonton,,walking,2020-01-24,155.85
Alberta,Edmonton,,walking,2020-02-15,154.06
Alberta,Edmonton,,walking,2020-03-06,154.02
Alberta,Calgary,,walking,2020-02-01,153.92
New Brunswick,New Brunswick,,driving,2020-02-15,153.8
New Brunswick,New Brunswick,,driving,2020-03-06,153.23
British Columbia,Vancouver,,walking,2020-02-01,152.83
Prince Edward Island,Prince Edward Island,,driving,2020-02-29,152.41
British Columbia,Vancouver,,walking,2020-02-07,152.35
Saskatchewan,Saskatchewan,,driving,2020-02-14,151.6
Alberta,Edmonton,,walking,2020-02-06,151.39
British Columbia,Vancouver,,walking,2020-02-28,151.37
Newfoundland and Labrador,Newfoundland and Labrador,,driving,2020-02-14,151.34
New Brunswick,New Brunswick,,driving,2020-02-21,151.23
British Columbia,Vancouver,,walking,2020-02-20,151.22
Ontario,Toronto,,walking,2020-02-21,151.17
British Columbia,Vancouver,,walking,2020-01-24,151.17
Alberta,Calgary,,walking,2020-01-22,150.62
Prince Edward Island,Prince Edward Island,,driving,2020-02-28,149.95
Alberta,Edmonton,,walking,2020-03-07,149.9
Quebec,Montreal,Montr̩al,walking,2020-02-29,149.78
Quebec,Montreal,Montr̩al,walking,2020-02-14,149.13
New Brunswick,New Brunswick,,driving,2020-01-24,149.09
New Brunswick,New Brunswick,,driving,2020-02-01,148.84
Alberta,Alberta,,driving,2020-02-14,148.53
Ontario,Ottawa,,walking,2020-02-15,147.2
Saskatchewan,Saskatchewan,,driving,2020-02-28,146.91
Alberta,Edmonton,,walking,2020-01-30,146.72
New Brunswick,New Brunswick,,driving,2020-01-31,146.49
Prince Edward Island,Prince Edward Island,,driving,2020-02-08,146.42
Alberta,Calgary,,walking,2020-01-21,146.35
British Columbia,British Columbia,,driving,2020-02-14,146.18
Alberta,Calgary,,walking,2020-01-30,146.1
Quebec,Montreal,Montr̩al,walking,2020-01-24,145.92
Nova Scotia,Nova Scotia,,driving,2020-02-29,145.88
Quebec,Montreal,Montr̩al,walking,2020-02-22,145.74
Saskatchewan,Saskatchewan,,driving,2020-02-29,145.43
British Columbia,Vancouver,,walking,2020-02-19,145.23
Manitoba,Manitoba,,driving,2020-02-14,145.13
New Brunswick,New Brunswick,,driving,2020-01-25,144.88
Alberta,Calgary,,walking,2020-02-08,144.84
Prince Edward Island,Prince Edward Island,,driving,2020-02-01,144.7
Saskatchewan,Saskatchewan,,driving,2020-01-31,144.65
British Columbia,Vancouver,,walking,2020-01-18,144.62
Quebec,Montreal,Montr̩al,walking,2020-02-01,144.61
Alberta,Edmonton,,walking,2020-02-01,144.45
Manitoba,Manitoba,,driving,2020-03-06,144.26
New Brunswick,New Brunswick,,driving,2020-02-29,144.19
Alberta,Edmonton,,walking,2020-01-29,144.08
Prince Edward Island,Prince Edward Island,,driving,2020-02-21,143.94
Alberta,Calgary,,walking,2020-01-28,143.63
Saskatchewan,Saskatchewan,,driving,2020-03-06,143.59
Quebec,Montreal,Montr̩al,walking,2020-02-21,143.34
Alberta,Calgary,,walking,2020-01-23,143.29
British Columbia,Vancouver,,walking,2020-03-04,143.1
New Brunswick,New Brunswick,,driving,2020-01-18,143.05
Ontario,Toronto,,walking,2020-03-07,142.35
Alberta,Edmonton,,walking,2020-02-20,142.24
Alberta,Edmonton,,walking,2020-02-13,142.07
New Brunswick,New Brunswick,,driving,2020-02-28,141.92
Nova Scotia,Nova Scotia,,driving,2020-02-14,141.8
Alberta,Edmonton,,driving,2020-02-14,141.73
Alberta,Calgary,,walking,2020-03-05,141.7
Nova Scotia,Nova Scotia,,driving,2020-03-06,141.48
Alberta,Alberta,,driving,2020-02-28,141.28
Alberta,Calgary,,walking,2020-02-19,141.26
Manitoba,Manitoba,,driving,2020-01-31,141.2
Saskatchewan,Saskatchewan,,driving,2020-02-21,141.05
Saskatchewan,Saskatchewan,,driving,2020-01-24,140.63
Saskatchewan,Saskatchewan,,driving,2020-02-07,140.38
Ontario,Ottawa,,walking,2020-02-01,140.31
Ontario,Ottawa,,walking,2020-01-31,140.21
Alberta,Calgary,,walking,2020-03-07,139.88
British Columbia,Vancouver,,driving,2020-02-14,139.86
Alberta,Alberta,,driving,2020-02-21,139.85
Alberta,Calgary,,walking,2020-02-27,139.76
Alberta,Calgary,,walking,2020-02-06,139.52
Manitoba,Manitoba,,driving,2020-02-28,139.51
Alberta,Alberta,,driving,2020-01-31,139.26
Ontario,Ottawa,,walking,2020-03-07,139.2
British Columbia,Vancouver,,walking,2020-01-17,139.11
Quebec,Montreal,Montr̩al,walking,2020-01-31,138.9
Quebec,Montreal,Montr̩al,walking,2020-03-07,138.68
Alberta,Edmonton,,walking,2020-01-23,138.41
Alberta,Edmonton,,driving,2020-02-28,138.37
Manitoba,Manitoba,,driving,2020-02-29,138.34
Alberta,Edmonton,,walking,2020-01-17,138.23
Alberta,Edmonton,,walking,2020-01-18,138.11
Alberta,Alberta,,driving,2020-03-06,138.06
Alberta,Edmonton,,walking,2020-02-11,137.94
Manitoba,Manitoba,,driving,2020-02-21,137.84
Alberta,Edmonton,,walking,2020-01-28,137.66
Alberta,Edmonton,,walking,2020-02-19,137.58
Newfoundland and Labrador,Newfoundland and Labrador,,driving,2020-02-21,137.58
Alberta,Calgary,,walking,2020-03-03,137.45
Quebec,Montreal,Montr̩al,walking,2020-03-05,137.22
British Columbia,Vancouver,,walking,2020-02-18,137.17
Ontario,Ontario,,driving,2020-02-14,137.06
Alberta,Alberta,,driving,2020-02-22,136.99
Alberta,Calgary,,walking,2020-02-18,136.93
