Province,Region,Transportation_Type,alternative_name,2020-01-13,2020-01-14,2020-01-15,2020-01-16,2020-01-17,2020-01-18,2020-01-19,2020-01-20,2020-01-21,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28
Alberta,Calgary,driving,,100,101.94,100.5,103.28,113.39,107.23,80.72,100.75,104.51,106.57,107.43,122.12,114.36,79.77,96.35,102.95,103.61,107.49,126.67,111.52,80.58,96.04,102.19,100.27,105.3,119.49,112.8,82.88,97.51,101.44,103.78,111.16,130.28,113.75,90.53,78.39,110.56,109.84,115.46,128.74,124.68,87.66,97.58,103.07,103.35,108.2,124.83,119.33,86.58,97.43,103.94,106.58,106.94,122.52,107.91,80.53,93.64,97.91,98.59,93.08,89.7,68.69,53.52,62.22,59.51,55.21,53.61,59.14,47.86,38.06,48.55,44.86,46.83,47.52,54.27,42.59,36.5,43.26,44.48,45.8,46.14,51.63,45.39,34.11,47.34,46.7,50.93,62.27,46.72,45.34,35.26,47.4,51.25,53.05,59.19,64.29,56.17,48.76,60.14,62.09,62.91,64.67,73.8,63.24,52.07,63.99,67.47
Alberta,Calgary,transit,,100,97.6,92.02,96.35,97.68,81.31,78.28,117.22,119.2,115.49,111.5,113.99,95.42,73.49,106.79,112.78,116.83,117.45,119.8,95.66,78.56,105.57,108.22,106.07,112.65,116.43,92.12,73.82,106.64,105.83,110.22,123.36,120.03,97,75.69,82.91,107.73,111.31,117.94,126.11,99.8,76.61,107.37,108.4,104.76,107.69,123.13,98.49,75.81,103.99,109.33,112.41,108.98,122.71,90.08,77,100.97,102.98,102.18,89.22,77.11,55.83,46.26,48.87,40.63,35.71,32.34,32.91,26.55,24.18,26.34,23.38,25.01,21.55,23.64,18.69,18.82,23.66,21.42,21.63,20.44,19.33,20.18,17.31,23.36,20.8,23.75,22.76,18.18,18.66,16.84,20.23,22.61,21.4,21.47,20.4,20.64,21.07,23.8,23.79,22.14,23.75,26.96,23.26,22.75,25.39,28.2
Alberta,Calgary,walking,,100,109.75,107.73,110.55,129.2,127.33,96.13,125.53,146.35,150.62,143.29,169.23,159.13,112.5,123.78,143.63,132.22,146.1,165.58,153.92,100.42,109.81,123.85,124.26,139.52,162.08,144.84,97.82,120.02,133.71,124.11,168.41,200.65,170.43,132.92,91.18,136.93,141.26,173.46,184.29,168.36,104.94,120.58,130.4,136.43,139.76,173.68,158.82,113.31,132.42,137.45,135.88,141.7,172.71,139.88,103.73,125.45,127.38,125.51,116.37,101.87,88.01,69.29,86.9,76.85,65.53,67.41,77.1,69.18,65.11,70.03,64.09,67.38,67.45,73.4,57.78,61.3,53.1,57.62,58.84,56.95,58.01,65.21,49.31,72.66,65.47,73.93,88.37,61.7,63.29,50.48,63.78,66.91,65.78,85.81,83.77,79.23,83.5,95.14,99.56,92.28,90.04,100.68,91.2,80.61,85.24,102.02
Alberta,Edmonton,driving,,100,102.98,104.72,111.86,129.58,120.51,85.96,108.93,113.75,121.92,117.68,129.97,125.58,88.11,102.72,109.13,114.16,115.33,132.69,119.02,88.71,100.05,106.16,106.93,114.13,131.26,127.22,87.91,102.48,129.55,118.77,121.38,141.73,127.8,99.46,83.2,112.69,116.11,117.8,130.48,128.72,91.36,101.5,107.17,108.94,116.57,138.37,133.63,96.32,104.57,108.45,109.35,111.38,132.41,125.01,86.51,101.84,106.45,105.73,102.34,103.52,86.52,60.53,71.81,67.21,62.02,61.78,67.18,51.51,39.22,52.46,51.91,52.9,54.07,61.58,45.84,36.84,51.2,48.69,52.83,51.03,59.27,47.95,37.05,52.35,53.32,56.64,66.91,53.84,52.79,36.8,51.87,56.92,63.35,65.69,72.31,63.3,50.43,67.24,69.39,70.08,74.51,82.5,68.12,55.35,70.64,76.75
Alberta,Edmonton,transit,,100,101.15,100.08,104.48,104.64,77.9,72.6,119.54,120.08,121.73,119.53,115.39,82.92,72.05,108.12,116.69,113.5,112.99,113.03,80.22,75.68,108.01,115.08,114.27,116.68,111.22,86.78,72.75,109.6,121.59,121.83,120.04,115.2,84.28,72.46,74,107.93,115.57,107.09,106.11,87.17,70.61,111.66,109.92,111.57,120.3,117.87,93.23,72.45,111.38,116.1,123.27,115.5,118.64,85.69,68.34,101.69,105.18,100.98,96.43,86.34,62.31,46.09,57.97,59.8,45.16,35.93,36.89,26.67,23.87,28.67,24.84,24.82,24.95,25.75,19.49,19.59,23.38,20.86,24.01,21.72,21.8,18.42,17.1,20.96,20.72,21.93,22.18,17.16,16.31,14.97,20.23,20.49,21.18,21.29,20.75,19.8,19.45,25.88,25.78,24.39,23.52,25.38,21.58,23.49,26.24,26.6
Alberta,Edmonton,walking,,100,112.5,111.51,115.04,138.23,138.11,91.34,125.12,134.13,126.13,138.41,155.85,160.18,103.64,117.53,137.66,144.08,146.72,172.42,144.45,100.98,114.38,122.55,127.03,151.39,169.1,159.81,102.11,124.77,137.94,127.64,142.07,163.93,154.06,118.41,84.49,119.08,137.58,142.24,161.33,160.21,102.78,118.45,128.26,136.63,160.15,180.4,164.1,110.24,130.47,132.95,134.61,135.64,154.02,149.9,100.7,127.33,128.05,127.49,117.86,119.8,111.38,78.97,91.93,83.57,80.48,77.87,84.77,65.94,52.26,68.54,72.81,69.52,72.76,84.8,60.84,49.16,65.79,64.31,61.32,61.06,66.39,61.1,44.75,69.53,71.42,77.74,84.73,71.81,63.73,46.94,67.66,66.03,80.07,89.72,90.55,90.4,75.35,107.6,99.58,95.65,100.16,111.79,98.8,79.29,94.51,108.4
Quebec,Montreal,driving,Montr̩al,100,101.01,106.71,110.64,117.82,100.38,73.03,99.49,100.45,107.09,108.45,123.73,107.93,76.21,95.66,98.5,100.67,104.35,120.42,110.1,83.64,91.84,97.22,101.23,104.56,100.95,102.63,79.27,120.77,109.81,109.81,116.2,128.24,112.96,89.36,103.11,106.67,117.55,111.72,126.38,110.69,82.46,98.02,104.64,101.59,99.23,123.5,107.55,83.46,101,106.11,106.48,114.17,113.17,102.71,80.61,97.58,105.89,104.81,101.11,90.32,75.02,55.79,65.57,56.45,54.53,53.16,51.55,39.43,31.66,43.14,40.26,34.22,33.66,37.73,30.04,23.16,31.15,34.41,33.81,32,34.51,30.56,22.39,32.82,32.93,33.43,33.68,33.19,31.06,24.92,27.66,35.78,37.74,38.83,41.92,36.36,27.76,42.36,39.93,41.38,45.36,49.32,42.29,32.54,45.47,48.57
Quebec,Montreal,transit,Montr̩al,100,100.85,104.22,108.68,110.74,101.08,82.55,104.29,105.56,107.05,108.94,120.67,101.45,81.04,101.45,107.47,101.12,105.93,115.59,103.2,82.75,98.69,102.06,103.72,108.33,113.84,110.31,87.03,112.65,107.83,109.11,113.2,120.66,108.67,92.21,101.2,102.58,106.72,112.23,124.14,104.54,82.93,97.94,101.31,101.46,105.07,119.5,110.81,88.28,103.93,108.35,109.8,115.73,112.04,100.34,84.39,101.05,101.42,99.13,89.87,76.74,65.37,51.46,49.52,39,36.73,32.21,30.84,27.16,23.94,24.15,21.71,20.35,19.21,19.72,18.41,15.52,19.07,19.98,18.62,18.3,18.89,17.25,15.02,18.45,17.6,17.84,15.97,16.93,16.08,14.99,18.43,19.04,19,18.67,18.99,18.63,16.83,20.53,20.07,20.75,20.19,21.05,20.61,18.45,23.29,23.07
Quebec,Montreal,walking,Montr̩al,100,103.16,114.86,112.96,122.87,124.74,84.83,93.97,100.68,107.28,118.09,145.92,133.71,86.78,103.04,108.6,104.53,111.04,138.9,144.61,91.4,96.08,104.77,105.88,105,111.5,136.13,88.24,102.05,105.72,114.31,119.14,149.13,170.69,135.51,112.34,105.32,114.27,117.38,143.34,145.74,97.43,103.27,110.01,104.09,101.46,132.75,149.78,98.56,107.97,119.21,118.95,137.22,135.28,138.68,101.52,109.21,107.72,115.92,110.76,99.4,98.89,67.33,66.61,52.96,56.27,51.65,46.5,42.9,37.2,38.09,41.39,40.86,37.19,46.55,38.79,22.54,29.25,42.76,37.11,33.4,38.2,46.23,29.71,41.32,43.46,39.9,33.38,35.65,37.34,37.06,27.8,39.22,38.85,39.81,43.15,46.53,32.26,45.0,34.89,37.69,44.16,50.7,56.53,36.33,42.24,52.1
Ontario,Ottawa,driving,,100,104.33,104.19,105.64,118.39,96.45,75.69,97.49,100.35,105.79,107.11,121.44,99.75,77.28,94.92,104.58,103.6,105.33,129.08,119.84,86.99,92.52,98.79,99.54,101.21,120.84,116.24,86.17,103.28,101.65,106.16,112.67,130.02,125.46,103.71,87.13,108.77,105.87,113.44,126.91,120.03,90.14,99.44,102.97,96.26,85.56,126.16,117.3,87.16,99.58,108.64,108.05,112.76,119.61,113.63,84.87,95.8,99.37,97.01,93.51,95.95,82.05,59.17,60.94,54.02,52.93,51.23,52.62,43.68,36.59,40.77,41.76,38.61,38.29,44.67,36.14,27.13,38.7,42.64,41.5,40.84,43.6,37.76,29.73,40.23,40.69,41.96,45.73,35.87,41.97,29.11,36.87,44.06,44.88,45.58,52.14,45.59,34.22,48.83,45.56,48.81,51.2,55.73,49.2,39.4,50.48,54.32
